[13:51:04] [13:51:04] $ bun dev
[13:51:04] $ next dev
[13:51:04] ▲ Next.js 16.2.10 (Turbopack)
[13:51:04] - Local:         http://localhost:3000
[14:01:10]  GET /plugins 200 in 39ms (next.js: 12ms, application-code: 28ms)
[14:01:12]  GET /plugins/telegram_bot 200 in 37ms (next.js: 10ms, generate-params: 6ms, application-code: 28ms)
[14:01:17]  GET /plugins/nginx_static 200 in 46ms (next.js: 10ms, generate-params: 6ms, application-code: 37ms)
[14:01:53] ✓ Compiled in 56ms
[14:01:53]  GET /plugins 200 in 218ms (next.js: 90ms, application-code: 128ms)
[14:01:53]  GET /plugins 200 in 69ms (next.js: 4ms, application-code: 65ms)
[14:01:53]  GET /plugins 200 in 41ms (next.js: 4ms, application-code: 37ms)
[14:01:56] ✓ Compiled in 33ms
[14:01:56]  GET /plugins 200 in 151ms (next.js: 73ms, application-code: 78ms)
[14:01:56]  GET /plugins 200 in 35ms (next.js: 4ms, application-code: 32ms)
[14:01:59] ✓ Compiled in 49ms
[14:01:59]  GET /plugins 200 in 161ms (next.js: 79ms, application-code: 82ms)
[14:01:59]  GET /plugins 200 in 41ms (next.js: 5ms, application-code: 36ms)
[14:02:02] ✓ Compiled in 28ms
[14:02:02]  GET /plugins 200 in 143ms (next.js: 64ms, application-code: 78ms)
[14:02:02]  GET /plugins 200 in 35ms (next.js: 4ms, application-code: 31ms)
[14:02:15]  GET /plugins?verified=1 200 in 32ms (next.js: 4ms, application-code: 28ms)
[14:02:15] ✓ Compiled in 34ms
[14:02:15]  GET /plugins?verified=1 200 in 132ms (next.js: 62ms, application-code: 70ms)
[14:02:15]  GET /plugins?verified=1 200 in 31ms (next.js: 4ms, application-code: 27ms)
[14:02:16]  GET /plugins 200 in 21ms (next.js: 3ms, application-code: 18ms)
[14:02:16]  GET /plugins?sort=recent 200 in 20ms (next.js: 4ms, application-code: 16ms)
[14:02:17]  GET /plugins?sort=rating 200 in 21ms (next.js: 4ms, application-code: 17ms)
[14:02:18]  GET /plugins?sort=popular 200 in 22ms (next.js: 4ms, application-code: 18ms)
[14:02:39]  GET /sw.js 404 in 242ms (next.js: 88ms, application-code: 154ms)
[14:02:58]  GET /plugins/minecraft_java 200 in 82ms (next.js: 26ms, generate-params: 13ms, application-code: 55ms)
[14:03:26]  GET / 200 in 5.3s (next.js: 104ms, application-code: 5.2s)
[14:03:42]  GET /plugins/minecraft_java 200 in 63ms (next.js: 10ms, generate-params: 7ms, application-code: 53ms)
[14:04:03]  GET / 200 in 2.8s (next.js: 4ms, application-code: 2.8s)
[14:08:09]  GET /sw.js 404 in 66ms (next.js: 7ms, application-code: 59ms)
[14:09:09]  GET /sw.js 404 in 65ms (next.js: 5ms, application-code: 60ms)
[14:16:54] ⚠ The "middleware" file convention is deprecated. Please use "proxy" instead. Learn more: https://nextjs.org/docs/messages/middleware-to-proxy
[14:16:54] ✓ Compiled in 51ms
[14:16:59] ✓ Compiled in 53ms
[14:17:00]  GET / 404 in 803ms (next.js: -145665µs, proxy.ts: 800ms, application-code: 149ms)
[14:17:01]  GET / 200 in 626ms (next.js: 134ms, proxy.ts: 132ms, application-code: 361ms)
[14:17:34]  GET / 200 in 3.5s (next.js: 198ms, proxy.ts: 39ms, application-code: 3.2s)
[14:17:34]  GET / 200 in 3.1s (next.js: 8ms, proxy.ts: 3ms, application-code: 3.1s)
[14:17:34]  GET / 200 in 3.0s (next.js: 6ms, proxy.ts: 3ms, application-code: 3.0s)
[14:17:34]  GET / 200 in 3.0s (next.js: 6ms, proxy.ts: 5ms, application-code: 2.9s)
[14:17:34]  GET / 200 in 3.2s (next.js: 7ms, proxy.ts: 15ms, application-code: 3.2s)
[14:17:34]  GET / 200 in 3.0s (next.js: 6ms, proxy.ts: 4ms, application-code: 3.0s)
[14:17:34]  GET / 200 in 345ms (next.js: 11ms, proxy.ts: 6ms, application-code: 328ms)
[14:17:34]  GET / 200 in 306ms (next.js: 5ms, proxy.ts: 4ms, application-code: 297ms)
[14:17:35]  GET / 200 in 349ms (next.js: 4ms, proxy.ts: 3ms, application-code: 341ms)
[14:17:35]  GET / 200 in 356ms (next.js: 5ms, proxy.ts: 15ms, application-code: 336ms)
[14:17:35]  GET / 200 in 359ms (next.js: 6ms, proxy.ts: 16ms, application-code: 338ms)
[14:17:35]  GET / 200 in 375ms (next.js: 5ms, proxy.ts: 3ms, application-code: 368ms)
[14:17:35]  GET / 200 in 354ms (next.js: 6ms, proxy.ts: 5ms, application-code: 343ms)
[14:17:35]  GET / 200 in 312ms (next.js: 5ms, proxy.ts: 3ms, application-code: 304ms)
[14:17:35]  GET / 200 in 375ms (next.js: 6ms, proxy.ts: 5ms, application-code: 364ms)
[14:17:35]  GET / 200 in 330ms (next.js: 7ms, proxy.ts: 26ms, application-code: 298ms)
[14:17:35]  GET / 200 in 341ms (next.js: 8ms, proxy.ts: 18ms, application-code: 316ms)
[14:17:35]  GET / 200 in 286ms (next.js: 5ms, proxy.ts: 4ms, application-code: 276ms)
